WorkflowId,Workflow
E61DC921-60E7-4878-BBFA-0154101D81A6,Start --> Magento --> Mapper --> SAP B1
D073A7DF-4313-42CF-8C10-015819AB5EEF,Start --> Grammatica The Basic app --> Mapper --> Magento
A15B3284-5D94-4410-8A56-015FD9A03A0F,Start --> Magento
B29AB904-92DC-4CEF-BBB9-016646D7F165,Start --> Shipment Add --> End
1AD8E859-45FB-4BF7-A496-016D8587AD96,Start --> Magento --> Mapper --> SAP B1 --> End
7C909053-E009-40D5-A1B2-016F3CB9D271,Start --> Test Touchpoint --> End
C684AB0D-68AD-4443-A56D-017B4054078C,Start --> SAP B1 --> Mapper --> Magento --> End
67CF63C8-6116-4A85-8594-017CF06476BE,Start --> Shopify --> Mapper --> Lightspeed
38CB50D3-CE17-4EE5-8B17-017DD18FA27A,Start --> Magento --> Mapper --> Dynamics  NAV or BC --> End
378D8377-DDBA-4BB6-9A6F-017E68817017,Start --> Shopify --> Mapper --> Magento
B98DD970-B3ED-4EFD-AA62-018A9E2C0AA5,Start
2C214555-97DB-4422-AD65-018AF844037B,Start --> Magento --> Splitter --> Mapper --> SAP B1
90751143-100C-4361-A08C-018EC8318876,Start --> Product Add --> Release Product Add --> End
C7C4F5AB-E0E9-40A6-89D1-019796DC8467,Start --> Business Partner Add --> Account Update
402C3B39-DE68-4479-A960-01A2A772492F,Start --> Add credit note line items
0514E157-4CA7-40A2-8A1F-01A2B5630B5B,Start --> Magento --> Mapper --> Shopify
5FCE3206-041F-4C77-96BD-01A4FE0CF8CD,Start --> Shopify --> Mapper --> SAP B1
DB22DE14-75BA-4593-A9F4-01B2522F5944,Start --> SAP B1 --> Mapper --> Magento
2389CDF1-BE4C-4289-BACC-01B79E347556,Start --> SAP B1 --> Mapper --> Salesforce
81B4AD4F-3511-449C-88DD-01B81C2E9B8F,Start --> MagentoClone --> Mapper --> Gmail --> End
7CD40777-490F-45A4-AB1E-01B859E5D014,Start --> Product Add
008AB057-E991-4117-A977-01BA8BF2F2C5,Start --> Accounts Add --> End
0D27FCD9-3BC0-44D5-87F2-01BAD7A891AA,Start --> SAP B1 --> Mapper --> Magento --> End
98D2EDB4-F3C1-47CD-8BD1-01C46F03D4AA,Start --> Dynamics  NAV or BC --> Mapper --> Shopify
49B310E0-716F-443A-A06F-01C585D0BBDF,Start --> SAP B1 --> Mapper --> DPD
A0D95FBF-8A39-4EB6-8620-01C960D398CB,Start --> Business Partner Add --> End
3253921B-045C-40CE-8813-01CBFFF7BBFA,Start --> Sales Order Add --> A/R Reserve Invoice Add
EA8A55EF-8C4E-4AB0-ADA5-01D5ED2CBC1C,Start --> Magento --> Splitter --> Mapper --> Merger --> Shopify
FE9C130F-CBD4-486F-97C7-01D816780DEE,Start --> Magento --> Mapper --> WooCommerce
A9F8A4B6-1491-4F90-8C45-01DAB9208AAA,Start --> Magento --> Mapper --> Shopify
EB774CA0-D575-4CF7-8E68-01DE05C5ED4C,Start --> Salesforce --> Mapper --> SAP B1
BFC1E8B1-5C76-4FDD-BA11-01DFAADC4A8D,Start --> Inventory Update --> Inventory Post Reconcile
64C10D7B-7674-41D5-A3D6-01E117710B00,Start --> HubSpot --> Mapper --> SAP B1
563419CD-41F0-41D6-A7CA-01E66BAAB0D0,Start --> Product Add
9F1715AF-EBBB-4B90-BF88-01E6D6162557,Start --> Magento --> Mapper --> SAP B1
F683309E-5E8D-4D4D-8FB3-01E71644B870,Start
1B1A6BD2-149D-4881-8CE6-01F1111B566E,Start --> Product Add
6E604CE9-8BCB-4F42-88A7-01F126FC91B6,Start --> SAP B1
826ED05B-71C7-4A87-980C-01F5EADECB3B,Start --> Address Update --> End
99314B5B-2ABF-4C89-A04D-01F7144098A4,Start --> Magento
5829BE6F-094D-4124-9459-020066034EC6,Start --> Magento --> Mapper --> SAP B1 --> End
ECF36AE7-FD32-413F-BAB3-0210F2A59C63,Start
EDAEDCA8-9070-4224-86DC-02117546A5DC,Start --> SAP B1 --> Mapper --> Zoho CRM V2 and Zoho Invoice
25A2CF35-C341-4F67-A5D1-0211ADA94F43,Start --> Product Add (Part Catalogue)
2C326D2B-08BE-4576-8F8F-02126D4F0F3E,Start --> Magento --> Mapper --> Zoho Books
FE0CB7E7-CAD0-495F-B112-0215F97E48A8,Start --> Magento --> Mapper --> SAP B1 --> End
BFE40741-F74F-4F6F-A992-0219E7C83171,Start --> Shopify --> Mapper --> SAP B1
62614A79-2452-40CD-8787-021BB74BF0FB,Start --> Sales Order Add
39E8E632-BE3D-4370-B31E-021E26432621,Start --> WooCommerce --> Mapper --> SAP B1
08FACBB8-7547-4893-8279-0220151BCE69,Start
